,Packet ID,Address,Data,Read/Write,ACK/NAK
,0,0x2A,0x05,Write,ACK
,0,0x2A,0x00,Write,ACK
,0,0x2A,0x3D,Write,ACK
,0,0x2A,0x03,Write,ACK
,0,0x2A,0x06,Write,ACK
,0,0x2A,0x00,Write,ACK
,0,0x2A,0x07,Write,ACK
,0,0x2A,0x00,Write,ACK
,0,0x2A,0x0D,Write,ACK
,0,0x2A,0x05,Write,ACK
,0,0x2A,0x03,Write,ACK
,0,0x2A,0x06,Write,ACK
,0,0x2A,0x01,Write,ACK
,1,0x2A,0x05,Write,ACK
,1,0x2A,0x00,Write,ACK
,1,0x2A,0x3D,Write,ACK
,1,0x2A,0x02,Write,ACK
,1,0x2A,0x06,Write,ACK
,1,0x2A,0x00,Write,ACK
,2,0x2B,0x07,Read,ACK
,2,0x2B,0x00,Read,ACK
,2,0x2B,0x0D,Read,ACK
,2,0x2B,0x06,Read,ACK
,2,0x2B,0x01,Read,ACK
,2,0x2B,0xF0,Read,ACK
,2,0x2B,0x0A,Read,NAK
,3,0x2A,0x05,Write,ACK
,3,0x2A,0x00,Write,ACK
,3,0x2A,0x3D,Write,ACK
,3,0x2A,0x03,Write,ACK
,3,0x2A,0x06,Write,ACK
,3,0x2A,0x00,Write,ACK
,3,0x2A,0x07,Write,ACK
,3,0x2A,0x00,Write,ACK
,3,0x2A,0x0D,Write,ACK
,3,0x2A,0x05,Write,ACK
,3,0x2A,0x03,Write,ACK
,3,0x2A,0x07,Write,ACK
,3,0x2A,0x01,Write,ACK
,4,0x2A,0x05,Write,ACK
,4,0x2A,0x00,Write,ACK
,4,0x2A,0x3D,Write,ACK
,4,0x2A,0x02,Write,ACK
,4,0x2A,0x06,Write,ACK
,4,0x2A,0x00,Write,ACK
,5,0x2B,0x07,Read,ACK
,5,0x2B,0x00,Read,ACK
,5,0x2B,0x0D,Read,ACK
,5,0x2B,0x07,Read,ACK
,5,0x2B,0x01,Read,ACK
,5,0x2B,0xE7,Read,ACK
,5,0x2B,0x06,Read,NAK
,6,0x2A,0x05,Write,ACK
,6,0x2A,0x00,Write,ACK
,6,0x2A,0x3D,Write,ACK
,6,0x2A,0x03,Write,ACK
,6,0x2A,0x06,Write,ACK
,6,0x2A,0x00,Write,ACK
,6,0x2A,0x07,Write,ACK
,6,0x2A,0x00,Write,ACK
,6,0x2A,0x0D,Write,ACK
,6,0x2A,0x00,Write,ACK
,6,0x2A,0x03,Write,ACK
,6,0x2A,0x01,Write,ACK
,6,0x2A,0x00,Write,ACK
,7,0x2A,0x05,Write,ACK
,7,0x2A,0x00,Write,ACK
,7,0x2A,0x3D,Write,ACK
,7,0x2A,0x03,Write,ACK
,7,0x2A,0x06,Write,ACK
,7,0x2A,0x00,Write,ACK
,7,0x2A,0x07,Write,ACK
,7,0x2A,0x00,Write,ACK
,7,0x2A,0x0D,Write,ACK
,7,0x2A,0x05,Write,ACK
,7,0x2A,0x03,Write,ACK
,7,0x2A,0x06,Write,ACK
,7,0x2A,0x01,Write,ACK
,8,0x2A,0x05,Write,ACK
,8,0x2A,0x00,Write,ACK
,8,0x2A,0x3D,Write,ACK
,8,0x2A,0x02,Write,ACK
,8,0x2A,0x06,Write,ACK
,8,0x2A,0x00,Write,ACK
,9,0x2B,0x07,Read,ACK
,9,0x2B,0x00,Read,ACK
,9,0x2B,0x0D,Read,ACK
,9,0x2B,0x06,Read,ACK
,9,0x2B,0x01,Read,ACK
,9,0x2B,0xF0,Read,ACK
,9,0x2B,0x0A,Read,NAK
,10,0x2A,0x05,Write,ACK
,10,0x2A,0x00,Write,ACK
,10,0x2A,0x3D,Write,ACK
,10,0x2A,0x03,Write,ACK
,10,0x2A,0x06,Write,ACK
,10,0x2A,0x00,Write,ACK
,10,0x2A,0x07,Write,ACK
,10,0x2A,0x00,Write,ACK
,10,0x2A,0x0D,Write,ACK
,10,0x2A,0x05,Write,ACK
,10,0x2A,0x03,Write,ACK
,10,0x2A,0x07,Write,ACK
,10,0x2A,0x01,Write,ACK
,11,0x2A,0x05,Write,ACK
,11,0x2A,0x00,Write,ACK
,11,0x2A,0x3D,Write,ACK
,11,0x2A,0x02,Write,ACK
,11,0x2A,0x06,Write,ACK
,11,0x2A,0x00,Write,ACK
,12,0x2B,0x07,Read,ACK
,12,0x2B,0x00,Read,ACK
,12,0x2B,0x0D,Read,ACK
,12,0x2B,0x07,Read,ACK
,12,0x2B,0x01,Read,ACK
,12,0x2B,0xE7,Read,ACK
,12,0x2B,0x06,Read,NAK
,13,0x2A,0x05,Write,ACK
,13,0x2A,0x00,Write,ACK
,13,0x2A,0x3D,Write,ACK
,13,0x2A,0x03,Write,ACK
,13,0x2A,0x06,Write,ACK
,13,0x2A,0x00,Write,ACK
,13,0x2A,0x07,Write,ACK
,13,0x2A,0x00,Write,ACK
,13,0x2A,0x0D,Write,ACK
,13,0x2A,0x00,Write,ACK
,13,0x2A,0x03,Write,ACK
,13,0x2A,0x01,Write,ACK
,13,0x2A,0x00,Write,ACK
